time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00246 0005 00376 -3700.75630 0.10000 1.00000 0 0 0
    0.00 00247 0005 00388 -3723.63675 0.10000 1.00000 0 0 0
    0.00 00248 0005 00376 -3709.71153 0.10000 1.00000 0 0 0
    0.00 00249 0005 00406 -3776.09824 0.10000 1.00000 0 0 0
    0.00 00250 0006 00392 -3760.98076 0.10000 1.00000 0 0 0
    0.00 00251 0005 00393 -3761.76684 0.10000 1.00000 0 0 0
    0.00 00252 0005 00394 -3738.63544 0.10000 1.00000 0 0 0
    0.00 00253 0005 00378 -3728.28635 0.10000 1.00000 0 0 0
    0.00 00254 0005 00382 -3744.99634 0.10000 1.00000 0 0 0
    0.00 00255 0005 00365 -3746.20298 0.10000 1.00000 0 0 0
    0.00 00256 0005 00388 -3708.36692 0.10000 1.00000 0 0 0
    0.00 00257 0005 00382 -3675.00518 0.10000 1.00000 0 0 0
    0.00 00258 0005 00398 -3758.03083 0.10000 1.00000 0 0 0
    0.00 00259 0005 00362 -3701.71530 0.10000 1.00000 0 0 0
    0.00 00260 0006 00369 -3673.51710 0.10000 1.00000 0 0 0
    0.00 00261 0006 00376 -3723.55588 0.10000 1.00000 0 0 0
    0.00 00262 0005 00375 -3717.44277 0.10000 1.00000 0 0 0
    0.00 00263 0005 00388 -3760.14377 0.10000 1.00000 0 0 0
    0.00 00264 0005 00382 -3766.51380 0.10000 1.00000 0 0 0
    0.00 00265 0005 00362 -3707.17400 0.10000 1.00000 0 0 0
    0.00 00266 0005 00366 -3667.80916 0.10000 1.00000 0 0 0
    0.00 00267 0005 00365 -3700.50365 0.10000 1.00000 0 0 0
    0.00 00268 0006 00382 -3746.29359 0.10000 1.00000 0 0 0
    0.00 00269 0005 00385 -3762.75852 0.10000 1.00000 0 0 0
    0.00 00270 0005 00380 -3794.06992 0.10000 1.00000 0 0 0
    0.00 00271 0005 00387 -3814.39947 0.10000 1.00000 0 0 0
